Genotype,Range,Plate,Amount_Consumed,Total_Consumed,Con_Ratio,Latitude,Longitude,Population,Pair
ChilePI368950,Invasive,1,-4.4042208,1.2241773,-3.597698471,-31.61,-71.53,MP-PI368950,83
AustraliaW65527,Invasive,4,-8.19700709,2.46510813,-3.325211982,-35.3,149.1333333,MP-W65527,58
Rivercrest_11,Invasive,3,-10.95905651,6.08188698,-1.801917159,27.98948333,-82.4658,Florida2,50
GILNS4_1,Native,3,-6.16464946,5.0632261,-1.217533908,37.708491,-8.099286,Portugal2,58
CMS12_4,Native,4,-6.06627022,7.24503462,-0.837300377,38.7,-9.1833,Portugal1,30
AustraliaW65527,Invasive,2,-4.21038943,16.18246266,-0.260182243,-35.3,149.1333333,MP-W65527,59
NM58_13,Invasive,3,-1.73229183,9.88863129,-0.175180142,34.2238,-118.0616,California2,9
TurkmenistanW62449,Native,4,-2.63846046,18.63834345,-0.141560889,37.444722,54.230556,MP-W624449,55
GILNS4_1,Native,4,-0.68817262,5.74665538,-0.119751851,37.708491,-8.099286,Portugal2,4
TurkmenistanW62449,Native,1,-0.92988726,10.38863129,-0.089510084,37.444722,54.230556,MP-W624449,73
GILNS11_4,Native,4,-0.51812568,17.68329961,-0.029300283,37.708491,-8.099286,Portugal2,51
Rivercrest_11,Invasive,5,-0.70155496,29.08110317,-0.024124083,27.98948333,-82.4658,Florida2,50
ChilePI368959,Invasive,1,-0.04379214,5.47739225,-0.007995071,-31.625556,-71.524167,MP-PI368959,36
BrazilPI404356,Invasive,4,-0.08953211,21.84263005,-0.004098962,-29.35,-49.733333,MP-PI404356,39
AustraliaW65527,Invasive,5,0.02358896,26.49720449,0.000890243,-35.3,149.1333333,MP-W65527,53
NM58_13,Invasive,1,0.27518315,20.11189318,0.013682608,34.2238,-118.0616,California2,9
GILNS11_4,Native,1,0.4588737,14.08674926,0.032574847,37.708491,-8.099286,Portugal2,51
GILNS11_4,Native,3,1.32332769,23.98492037,0.05517332,37.708491,-8.099286,Portugal2,65
IranPI227025,Native,3,1.71020662,28.18837002,0.060670646,32.63,48.26,MP-PI227025,44
GILNS11_4,Native,4,1.47225604,22.01994384,0.066860118,37.708491,-8.099286,Portugal2,65
GreeceW65319,Native,4,1.87758772,23.81241572,0.078849107,39.06666667,21.98333333,MP-W65319,26
GILNS11_4,Native,3,1.79604047,20.70279744,0.086753516,37.708491,-8.099286,Portugal2,51
GILNS4_1,Native,5,1.57654264,15.42527552,0.102205153,37.708491,-8.099286,Portugal2,58
GILNS11_4,Native,2,2.7000658,23.61273013,0.114347887,37.708491,-8.099286,Portugal2,65
St.Augustine_11,Invasive,2,3.60727951,31.15737188,0.115776116,31.61666667,65.71666667,Florida1,5
Rivercrest_11,Invasive,2,2.75003923,22.88188698,0.12018411,27.98948333,-82.4658,Florida2,50
ChilePI368959,Invasive,5,2.06770817,17.12151146,0.120766684,-31.625556,-71.524167,MP-PI368959,37
CMNS5_2,Native,1,2.76770817,19.93625329,0.1388279,38.7,-9.1833,Portugal1,82
St.Augustine_3,Invasive,4,2.78375635,19.68570418,0.141410047,31.61666667,65.71666667,Florida1,1
GILNS11_4,Native,1,3.19311336,20.89453865,0.152820477,37.708491,-8.099286,Portugal2,76
GILNS11_4,Native,5,2.33723257,15.21617978,0.153601798,37.708491,-8.099286,Portugal2,51
AustraliaPI197336,Invasive,4,6.80701824,42.2717993,0.161029773,-34.53333333,138.7333333,PI197336,44
GILNS10_6,Native,2,4.88908803,30.26458559,0.161544853,37.708491,-8.099286,Portugal2,13
BrazilPI404356,Invasive,4,4.83001886,29.39401611,0.1643198,-29.35,-49.733333,MP-PI404356,40
Rivercrest_1,Invasive,2,3.15328075,19.18732494,0.164341864,27.98948333,-82.4658,Florida2,63
GILNS4_1,Native,1,2.36556487,14.17446514,0.16688918,37.708491,-8.099286,Portugal2,58
GILNS4_1,Native,3,5.81611398,33.59615941,0.173118418,37.708491,-8.099286,Portugal2,78
UzbekistanW68297,Native,1,4.8979225,27.2782292,0.179554269,40.066667,68.416667,MP-W68297,72
ChilePI368959,Invasive,2,6.91104357,37.70577769,0.183288716,-31.625556,-71.524167,MP-PI368959,37
